%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
51035000000,1524,51034000000,map,base_link,7.69761784677e-05,-2.3255406975e-05,-0.00131565104537,0.000152083126182,2.03306570213e-06,0.026781195502,0.999641307887,51.8201007975,-3.77723807348e-10,1.7342930745e-08,6.66593049425e-14,2.92223421027e-14,-5.7769759117e-06,-3.77723807307e-10,51.8201007985,1.468462002e-06,-2.71175040084e-13,-1.19074440895e-13,2.35041411009e-05,1.7342930745e-08,1.468462002e-06,0.053215387669,-2.40696704603e-18,2.29701387441e-19,2.87427053154e-12,6.66593049425e-14,-2.71175040084e-13,-2.40696704603e-18,2.60082728332e-07,2.9629586023e-17,-5.84870666711e-09,2.92223421027e-14,-1.19074440895e-13,2.29701387441e-19,2.9629586023e-17,2.60082728277e-07,-2.56773334407e-09,-5.7769759117e-06,2.35041411009e-05,2.87427053154e-12,-5.84870666711e-09,-2.56773334407e-09,0.506865930732,-2.78128963971e-06,-1.48087766961e-05,-0.00019986842489,-0.00267122102483,0.00448924375763,0.00223536770136,0.00641608216843,0.0,0.0,0.0,0.0,0.0,0.0,0.00641608216843,0.0,0.0,0.0,0.0,0.0,0.0,0.0018320699092,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,1.24830827618e-21,5.07818741674e-20,0.0,0.0,0.0,1.24830827633e-21,2.32093527544e-05,3.01244140841e-18,0.0,0.0,0.0,5.07818741674e-20,3.01244140841e-18,2.32093527642e-05
51067000000,1525,51067000000,map,base_link,7.69470817135e-05,-2.34924431709e-05,-0.00131608046397,0.000152125272996,2.06523856883e-06,0.0268249886466,0.999640133667,51.8531018306,-3.16797585591e-10,1.73377938036e-08,1.00936712062e-14,1.88651803412e-14,-4.51643506355e-06,-3.16797585549e-10,51.8531018316,1.46857469342e-06,-5.18920340375e-14,-9.71039798457e-14,2.32249997293e-05,1.73377938036e-08,1.46857469342e-06,0.053249048891,-4.78620252455e-18,-1.69785069722e-18,2.82210811283e-12,1.00936712062e-14,-5.18920340375e-14,-4.78620252455e-18,2.60082728267e-07,4.73955195457e-18,-1.13360150812e-09,1.88651803412e-14,-9.71039798457e-14,-1.69785069722e-18,4.73955195457e-18,2.60082728273e-07,-2.12052170211e-09,-4.51643506355e-06,2.32249997293e-05,2.82210811283e-12,-1.13360150812e-09,-2.12052170211e-09,0.507194485258,8.2184502904e-06,-2.21095113598e-05,-8.33192316873e-05,-0.00827910150953,0.00572687854218,0.00444844172713,0.00291608120936,0.0,0.0,0.0,0.0,0.0,0.0,0.00291608120936,0.0,0.0,0.0,0.0,0.0,0.0,0.00113206415749,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,3.2682815315e-22,4.21466524358e-20,0.0,0.0,0.0,3.26828153215e-22,2.32093527544e-05,3.01270614901e-18,0.0,0.0,0.0,4.21466524358e-20,3.01270614901e-18,2.32093527635e-05
51097000000,1526,51097000000,map,base_link,7.73632744682e-05,-2.39573405674e-05,-0.00131856310599,0.000152080706286,2.07096761664e-06,0.0268731542137,0.999638840007,51.8831034222,-3.04168567152e-10,1.73301099182e-08,2.85419030735e-14,1.79615485183e-14,-4.181827768e-06,-3.0416856711e-10,51.8831034232,1.46878144751e-06,-1.6071323818e-13,-1.01411939465e-13,2.35515361452e-05,1.73301099182e-08,1.46878144751e-06,0.0532799624578,-1.01991543929e-17,-2.65122510024e-19,2.82072460933e-12,2.85419030735e-14,-1.6071323818e-13,-1.01991543929e-17,2.60082728288e-07,1.49153573097e-17,-3.4639691766e-09,1.79615485183e-14,-1.01411939465e-13,-2.65122510024e-19,1.49153573097e-17,2.60082728274e-07,-2.18514427967e-09,-4.181827768e-06,2.35515361452e-05,2.82072460933e-12,-3.4639691766e-09,-2.18514427967e-09,0.507492176835,4.31708030354e-06,-4.31777890504e-05,-0.000202771989067,-0.0123586966703,0.0016926628476,0.00542307836196,0.00791608070531,0.0,0.0,0.0,0.0,0.0,0.0,0.00791608070531,0.0,0.0,0.0,0.0,0.0,0.0,0.00213205307438,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,6.42740938164e-22,4.61090329921e-20,0.0,0.0,0.0,6.42740938235e-22,2.32093527544e-05,3.01178020506e-18,0.0,0.0,0.0,4.61090329921e-20,3.01178020506e-18,2.32093527643e-05
51130000000,1527,51130000000,map,base_link,7.73570321689e-05,-2.3988214071e-05,-0.0013184951521,0.00015205381642,2.08089773982e-06,0.026941096021,0.99963701123,51.9161041494,-3.05917412701e-10,1.73284231849e-08,1.11129255398e-14,-1.28684989491e-14,-4.2135717631e-06,-3.05917412659e-10,51.9161041504,1.46882039015e-06,-6.21828167479e-14,7.18701708486e-14,2.35846427373e-05,1.73284231849e-08,1.46882039015e-06,0.0533135553733,-2.02512318284e-18,1.71727058068e-18,2.79476969023e-12,1.11129255398e-14,-6.21828167479e-14,-2.02512318284e-18,2.60195368864e-07,-4.0818506898e-18,-1.33945619161e-09,-1.28684989491e-14,7.18701708486e-14,1.71727058068e-18,-4.0818506898e-18,2.60195368865e-07,1.5474613716e-09,-4.2135717631e-06,2.35846427373e-05,2.79476969023e-12,-1.33945619161e-09,1.5474613716e-09,0.507818612291,-6.20011372454e-06,-1.00183237885e-05,-0.000134721771376,-0.011189361636,0.00800968868991,0.00580657594133,0.00441608170262,0.0,0.0,0.0,0.0,0.0,0.0,0.00441608170262,0.0,0.0,0.0,0.0,0.0,0.0,0.00143206646045,0.0,0.0,0.0,0.0,0.0,0.0,2.40358053292e-05,-1.70977088395e-22,2.28033022725e-20,0.0,0.0,0.0,-1.70977088377e-22,2.40358053292e-05,1.62595018136e-18,0.0,0.0,0.0,2.28033022725e-20,1.62595018136e-18,2.40358053346e-05
51168000000,1528,51167000000,map,base_link,7.75207624527e-05,-2.44425945785e-05,-0.00131977371599,0.000152091153812,2.11019509395e-06,0.0270049926422,0.99963528711,51.9531055073,-2.80865718378e-10,1.73213400624e-08,2.58258241701e-14,3.24164426922e-14,-3.64016441514e-06,-2.80865718336e-10,51.9531055084,1.46897664515e-06,-1.6886467602e-13,-2.12123371317e-13,2.38036048177e-05,1.73213400624e-08,1.46897664515e-06,0.0533513971249,1.45121022716e-19,-1.39451327498e-18,2.74517404509e-12,2.58258241701e-14,-1.6886467602e-13,1.45121022716e-19,2.6008272829e-07,3.21298997987e-17,-3.60550355053e-09,3.24164426922e-14,-2.12123371317e-13,-1.39451327498e-18,3.21298997987e-17,2.60082728305e-07,-4.52851479763e-09,-3.64016441514e-06,2.38036048177e-05,2.74517404509e-12,-3.60550355053e-09,-4.52851479763e-09,0.50818428897,4.04845212089e-06,2.13903562415e-06,-0.000103805695599,-0.00912031827202,0.00333781368664,-0.00313569912438,0.00291608146808,0.0,0.0,0.0,0.0,0.0,0.0,0.00291608146808,0.0,0.0,0.0,0.0,0.0,0.0,0.0011320667957,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,1.53845789227e-21,4.63645427414e-20,0.0,0.0,0.0,1.53845789226e-21,2.32093527544e-05,3.01608547352e-18,0.0,0.0,0.0,4.63645427414e-20,3.01608547352e-18,2.32093527635e-05
51202000000,1529,51201000000,map,base_link,7.70507713568e-05,-2.39674586372e-05,-0.00132377103802,0.000152112047474,2.12967290627e-06,0.0269662635628,0.999636332616,51.9871075888,-2.94118680897e-10,1.73110287283e-08,1.16475937866e-14,1.4586172422e-14,-3.99964406088e-06,-2.94118680855e-10,51.9871075898,1.46926605244e-06,-6.79553647133e-14,-8.54902186872e-14,2.33486580747e-05,1.73110287283e-08,1.46926605244e-06,0.0533865356594,6.93691186773e-18,6.10632429665e-18,2.74966066807e-12,1.16475937866e-14,-6.79553647133e-14,6.93691186773e-18,2.60082728269e-07,5.42338337286e-18,-1.48126135535e-09,1.4586172422e-14,-8.54902186872e-14,6.10632429665e-18,5.42338337286e-18,2.60082728271e-07,-1.8618258699e-09,-3.99964406088e-06,2.33486580747e-05,2.74966066807e-12,-1.48126135535e-09,-1.8618258699e-09,0.508521333828,-3.1395365215e-05,3.40633381258e-05,-0.000262530577864,-0.00781508226674,0.00892443238324,0.00242980531305,0.00991610975251,0.0,0.0,0.0,0.0,0.0,0.0,0.00991610975251,0.0,0.0,0.0,0.0,0.0,0.0,0.00253208246613,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527219e-05,2.59060430259e-22,4.16791373501e-20,0.0,0.0,0.0,2.59060430191e-22,2.32093527219e-05,3.01231263337e-18,0.0,0.0,0.0,4.16791373501e-20,3.01231263337e-18,2.32093527318e-05
51234000000,1530,51234000000,map,base_link,7.65761671962e-05,-2.3571882447e-05,-0.00132369895059,0.000152105968661,2.06141885583e-06,0.0269972115125,0.999635497284,52.0201079324,-3.1162378645e-10,1.73124646834e-08,7.949077693e-15,1.41198785795e-14,-4.52640458931e-06,-3.11623786408e-10,52.0201079333,1.46921434006e-06,-3.9661743728e-14,-7.0661964808e-14,2.25982322653e-05,1.73124646834e-08,1.46921434006e-06,0.0534200494468,4.2321269022e-18,2.53476289375e-18,2.89707272691e-12,7.949077693e-15,-3.9661743728e-14,4.2321269022e-18,2.60082728266e-07,2.79473660492e-18,-8.93801237682e-10,1.41198785795e-14,-7.0661964808e-14,2.53476289375e-18,2.79473660492e-18,2.60082728269e-07,-1.59103413734e-09,-4.52640458931e-06,2.25982322653e-05,2.89707272691e-12,-8.93801237682e-10,-1.59103413734e-09,0.50884804767,-1.36525615553e-05,2.19693451227e-05,-0.000149233109203,-0.00851464168681,0.00884731384057,-0.00206931710656,0.00641608164222,0.0,0.0,0.0,0.0,0.0,0.0,0.00641608164222,0.0,0.0,0.0,0.0,0.0,0.0,0.00183206459963,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,2.12232334514e-22,4.20837178244e-20,0.0,0.0,0.0,2.12232334682e-22,2.32093527544e-05,3.01139910936e-18,0.0,0.0,0.0,4.20837178244e-20,3.01139910936e-18,2.32093527643e-05
51268000000,1531,51269000000,map,base_link,7.66204610236e-05,-2.39651304947e-05,-0.00132410770991,0.000152078312725,2.08999824752e-06,0.026978710445,0.999635996776,52.0551090167,-2.95744571784e-10,1.73066897682e-08,-2.14671350374e-14,2.57660430659e-14,-4.13749674441e-06,-2.95744571743e-10,52.0551090176,1.46932353708e-06,1.18151088059e-13,-1.41929475485e-13,2.27686157615e-05,1.73066897682e-08,1.46932353708e-06,0.0534557696847,-6.10935199258e-18,3.12993978276e-18,2.80172117354e-12,-2.14671350374e-14,1.18151088059e-13,-6.10935199258e-18,2.60195368874e-07,-1.64667280704e-17,2.64164956189e-09,2.57660430659e-14,-1.41929475485e-13,3.12993978276e-18,-1.64667280704e-17,2.6019536888e-07,-3.17393434304e-09,-4.13749674441e-06,2.27686157615e-05,2.80172117354e-12,2.64164956189e-09,-3.17393434304e-09,0.509194145212,-1.69899540204e-05,-2.27549847536e-05,-0.000118943627411,0.00240397512939,0.00608535420673,0.00505646495066,0.00391608160911,0.0,0.0,0.0,0.0,0.0,0.0,0.00391608160911,0.0,0.0,0.0,0.0,0.0,0.0,0.00133206732116,0.0,0.0,0.0,0.0,0.0,0.0,2.40358053292e-05,-7.57892875456e-22,1.93853965812e-20,0.0,0.0,0.0,-7.57892875471e-22,2.40358053292e-05,1.63142839001e-18,0.0,0.0,0.0,1.93853965812e-20,1.63142839001e-18,2.40358053346e-05
51301000000,1532,51301000000,map,base_link,7.6111137999e-05,-2.40764222519e-05,-0.00132705943842,0.000152136555246,2.03361671901e-06,0.0270092929342,0.999635170923,52.0871111048,-2.91234235136e-10,1.729534527e-08,2.53810218663e-15,1.62550124343e-14,-4.06124040545e-06,-2.91234235095e-10,52.0871111057,1.46962692899e-06,-1.41109662714e-14,-9.08420239138e-14,2.26310806204e-05,1.729534527e-08,1.46962692899e-06,0.0534888640683,4.75481916902e-18,9.45142954679e-18,2.8016292347e-12,2.53810218663e-15,-1.41109662714e-14,4.75481916902e-18,2.60082728265e-07,1.27936730606e-18,-3.18732797763e-10,1.62550124343e-14,-9.08420239138e-14,9.45142954679e-18,1.27936730606e-18,2.60082728273e-07,-2.04510649206e-09,-4.06124040545e-06,2.26310806204e-05,2.8016292347e-12,-3.18732797763e-10,-2.04510649206e-09,0.509512918092,-4.37427614631e-05,2.02038916442e-05,-0.000208681178054,-0.00763217674055,0.00397063999766,0.00302734382612,0.00991610877893,0.0,0.0,0.0,0.0,0.0,0.0,0.00991610877893,0.0,0.0,0.0,0.0,0.0,0.0,0.00253208144946,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527219e-05,1.51650504074e-22,4.18106938478e-20,0.0,0.0,0.0,1.51650504057e-22,2.32093527219e-05,3.0128124113e-18,0.0,0.0,0.0,4.18106938478e-20,3.0128124113e-18,2.32093527318e-05
51334000000,1533,51334000000,map,base_link,7.72099976538e-05,-2.41291572371e-05,-0.00132683344279,0.000152134943611,2.05923769126e-06,0.0270334995065,0.999634516589,52.1201114347,-3.00017345319e-10,1.729778525e-08,-1.2963205533e-15,3.70477827548e-14,-4.16166964224e-06,-3.00017345277e-10,52.1201114357,1.46957189383e-06,7.23053893714e-15,-2.06307116696e-13,2.3160223039e-05,1.729778525e-08,1.46957189383e-06,0.0535223708278,-9.25327852751e-19,-1.76058838014e-18,2.75548880627e-12,-1.2963205533e-15,7.23053893714e-15,-9.25327852751e-19,2.60082728264e-07,-1.41324752085e-18,1.58652539229e-10,3.70477827548e-14,-2.06307116696e-13,-1.76058838014e-18,-1.41324752085e-18,2.60082728305e-07,-4.54145387005e-09,-4.16166964224e-06,2.3160223039e-05,2.75548880627e-12,1.58652539229e-10,-4.54145387005e-09,0.509841105822,4.27421835282e-06,-7.49475293318e-06,-0.000107355984036,-0.00172029616719,0.00432878144323,0.00186162693395,0.00641608164217,0.0,0.0,0.0,0.0,0.0,0.0,0.00641608164217,0.0,0.0,0.0,0.0,0.0,0.0,0.00183206459439,0.0,0.0,0.0,0.0,0.0,0.0,2.32093527544e-05,1.33791171198e-22,4.06319236393e-20,0.0,0.0,0.0,1.33791171145e-22,2.32093527544e-05,3.01725554656e-18,0.0,0.0,0.0,4.06319236393e-20,3.01725554656e-18,2.32093527643e-05
